title_length,body_length,title_word_count,body_word_count,is_draft,commits_24h,commit_authors_24h,files_changed_24h,additions_24h,deletions_24h,total_changes_24h,changes_per_commit_24h,files_per_commit_24h,deletion_ratio_24h,has_commit_activity_24h,has_file_activity_24h,bottleneck_label
56,2564,9,343,0,1.0,1.0,1.0,53.0,100.0,153.0,153.0,1.0,0.6535947712418301,1,1,0
25,343,4,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
48,1390,8,189,0,1.0,1.0,2.0,150.0,8.0,158.0,158.0,2.0,0.050632911392405,1,1,0
42,109,6,17,1,2.0,1.0,20.0,95.0,285.0,380.0,190.0,10.0,0.75,1,1,1
43,2675,7,327,0,2.0,1.0,8.0,181.0,68.0,249.0,124.5,4.0,0.2730923694779116,1,1,0
64,512,7,75,1,1.0,1.0,7.0,53.0,296.0,349.0,349.0,7.0,0.8481375358166189,1,1,0
53,504,6,70,0,4.0,1.0,2.0,158.0,35.0,193.0,48.25,0.5,0.1813471502590673,1,1,0
57,2178,9,303,0,1.0,1.0,3.0,69.0,11.0,80.0,80.0,3.0,0.1375,1,1,0
40,536,7,86,0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1,1,0
49,0,7,0,0,6.0,1.0,306.0,21428.0,12388.0,33816.0,5636.0,51.0,0.3663354625029572,1,1,0
57,2912,7,390,0,1.0,1.0,2.0,58.0,38.0,96.0,96.0,2.0,0.3958333333333333,1,1,0
70,862,11,123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
38,55,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
23,281,4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
64,2670,8,354,0,1.0,1.0,2.0,169.0,41.0,210.0,210.0,2.0,0.1952380952380952,1,1,0
69,1970,8,252,0,3.0,1.0,209.0,12323.0,1226.0,13549.0,4516.333333333333,69.66666666666667,0.0904863827588751,1,1,0
47,0,7,0,0,1.0,1.0,300.0,16430.0,8472.0,24902.0,24902.0,300.0,0.3402136374588386,1,1,1
47,343,8,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
65,1464,9,195,0,2.0,1.0,6.0,128.0,64.0,192.0,96.0,3.0,0.3333333333333333,1,1,0
48,343,8,49,0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.6666666666666666,1,1,0
82,215,12,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
32,0,5,0,0,2.0,1.0,2.0,32.0,26.0,58.0,29.0,1.0,0.4482758620689655,1,1,0
58,801,5,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
63,677,7,86,0,2.0,1.0,300.0,755.0,302.0,1057.0,528.5,150.0,0.2857142857142857,1,1,0
98,1821,12,260,0,5.0,1.0,27.0,2988.0,234.0,3222.0,644.4,5.4,0.0726256983240223,1,1,0
18,0,3,0,0,2.0,1.0,6.0,5791.0,5167.0,10958.0,5479.0,3.0,0.4715276510312101,1,1,0
37,934,5,122,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
56,1190,8,148,0,6.0,1.0,2.0,10.0,10.0,20.0,3.333333333333333,0.3333333333333333,0.5,1,1,0
46,1003,7,126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33,296,5,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
42,527,7,67,0,1.0,1.0,3.0,108.0,24.0,132.0,132.0,3.0,0.1818181818181818,1,1,0
72,2297,9,358,0,1.0,1.0,2.0,22.0,1.0,23.0,23.0,2.0,0.0434782608695652,1,1,0
67,2075,9,271,0,1.0,1.0,2.0,3.0,2.0,5.0,5.0,2.0,0.4,1,1,0
100,0,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
55,1429,10,192,0,4.0,1.0,135.0,22902.0,12870.0,35772.0,8943.0,33.75,0.3597785977859778,1,1,0
44,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45,593,6,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
43,557,5,82,0,2.0,1.0,301.0,19868.0,12312.0,32180.0,16090.0,150.5,0.3825978868862648,1,1,0
39,306,5,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
61,2751,8,369,0,3.0,1.0,306.0,20418.0,12314.0,32732.0,10910.666666666666,102.0,0.376206770133203,1,1,0
48,460,6,70,0,7.0,1.0,94.0,21289.0,12564.0,33853.0,4836.142857142857,13.428571428571429,0.3711340206185567,1,1,0
64,1402,9,186,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
77,2805,12,416,0,1.0,1.0,9.0,114.0,36.0,150.0,150.0,9.0,0.24,1,1,0
31,563,4,78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
76,1830,9,206,0,2.0,1.0,26.0,809.0,290.0,1099.0,549.5,13.0,0.2638762511373976,1,1,0
71,343,11,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
117,1248,9,165,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
90,0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
66,1969,9,232,0,1.0,1.0,4.0,8.0,23.0,31.0,31.0,4.0,0.7419354838709677,1,1,0
59,343,10,49,0,2.0,1.0,133.0,4373.0,1187.0,5560.0,2780.0,66.5,0.2134892086330935,1,1,0
40,1269,6,145,1,5.0,1.0,10.0,562.0,234.0,796.0,159.2,2.0,0.2939698492462311,1,1,1
55,1530,9,215,0,1.0,1.0,2.0,3.0,4.0,7.0,7.0,2.0,0.5714285714285714,1,1,0
52,1105,7,155,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
80,1216,6,159,0,2.0,1.0,1.0,39.0,5.0,44.0,22.0,0.5,0.1136363636363636,1,1,0
67,2044,11,303,0,1.0,1.0,1.0,1.0,8.0,9.0,9.0,1.0,0.8888888888888888,1,1,0
37,0,6,0,0,1.0,1.0,2.0,11.0,6.0,17.0,17.0,2.0,0.3529411764705882,1,1,0
68,1889,8,264,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
64,3716,9,455,0,1.0,1.0,6.0,61.0,8.0,69.0,69.0,6.0,0.1159420289855072,1,1,1
67,3038,7,416,0,1.0,1.0,3.0,6.0,5.0,11.0,11.0,3.0,0.4545454545454545,1,1,0
22,0,3,0,0,1.0,1.0,2.0,678.0,38.0,716.0,716.0,2.0,0.053072625698324,1,1,0
52,96,8,3,0,1.0,1.0,1.0,5.0,3.0,8.0,8.0,1.0,0.375,1,1,0
40,343,7,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
68,5862,8,852,0,5.0,1.0,2.0,218.0,63.0,281.0,56.2,0.4,0.2241992882562277,1,1,0
45,248,7,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
63,2025,10,271,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
29,343,5,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
79,2262,13,319,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
65,1813,9,232,0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,1.0,0.8333333333333334,1,1,0
83,5795,12,700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
49,591,8,95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
63,1191,4,148,0,1.0,1.0,1.0,3.0,3.0,6.0,6.0,1.0,0.5,1,1,0
38,3194,6,281,1,2.0,1.0,2.0,7.0,3.0,10.0,5.0,1.0,0.3,1,1,1
30,55,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
43,615,7,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
55,829,8,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
43,922,5,110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
47,2924,7,398,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
23,49,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
52,1293,7,163,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
62,1124,9,161,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
61,1143,7,140,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
62,371,9,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
40,885,5,105,0,1.0,1.0,3.0,56.0,74.0,130.0,130.0,3.0,0.5692307692307692,1,1,1
78,2427,9,304,0,1.0,1.0,1.0,83.0,0.0,83.0,83.0,1.0,0.0,1,1,0
66,210,11,24,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
59,557,9,82,1,1.0,1.0,1.0,7.0,5.0,12.0,12.0,1.0,0.4166666666666667,1,1,0
62,2147,9,251,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
29,57,3,9,0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,0.5,1,1,0
56,1154,9,175,0,1.0,1.0,1.0,2.0,6.0,8.0,8.0,1.0,0.75,1,1,0
74,1415,8,168,0,1.0,1.0,2.0,15.0,15.0,30.0,30.0,2.0,0.5,1,1,0
33,7218,6,469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
41,737,6,101,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1,1,1
56,586,8,54,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
56,1367,8,171,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
60,476,7,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
115,343,16,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
57,1791,10,282,0,1.0,1.0,5.0,28.0,39.0,67.0,67.0,5.0,0.582089552238806,1,1,0
52,351,6,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
60,686,7,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
61,2553,11,388,0,1.0,1.0,2.0,7.0,3.0,10.0,10.0,2.0,0.3,1,1,0
57,2066,10,278,0,1.0,1.0,7.0,202.0,53.0,255.0,255.0,7.0,0.2078431372549019,1,1,0
47,766,6,85,0,1.0,1.0,2.0,21.0,12.0,33.0,33.0,2.0,0.3636363636363636,1,1,0
64,2415,10,249,0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,1,1,1
29,535,3,49,0,5.0,1.0,5.0,12.0,4.0,16.0,3.2,1.0,0.25,1,1,0
72,2088,11,295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
40,4314,5,673,0,1.0,1.0,3.0,95.0,48.0,143.0,143.0,3.0,0.3356643356643357,1,1,1
87,1204,10,166,0,1.0,1.0,1.0,16.0,0.0,16.0,16.0,1.0,0.0,1,1,1
72,1499,9,182,0,1.0,1.0,2.0,75.0,15.0,90.0,90.0,2.0,0.1666666666666666,1,1,0
48,14,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
