dataset,accuracy,precision,recall,f1,roc_auc
TRAIN,0.8169761273209549,0.5067961165048543,0.8220472440944881,0.6270270270270271,0.8833435160706434
VALIDATION,0.7854195323246217,0.5447470817120622,0.7821229050279329,0.6422018348623854,0.8373669616278595
TEST,0.7912087912087912,0.3951219512195122,0.7431192660550459,0.5159235668789809,0.8508544411673163
