threshold,accuracy,precision,recall,f1
0.1,0.3246217331499312,0.26435045317220546,0.9776536312849162,0.4161712247324614
0.11,0.33837689133425036,0.2684049079754601,0.9776536312849162,0.42117930204572807
0.12,0.3535075653370014,0.27230046948356806,0.9720670391061452,0.4254278728606357
0.13,0.37551581843191195,0.2785829307568438,0.9664804469273743,0.4325
0.13999999999999999,0.39752407152682256,0.2859504132231405,0.9664804469273743,0.4413265306122449
0.14999999999999997,0.4154057771664374,0.2922297297297297,0.9664804469273743,0.4487678339818418
0.15999999999999998,0.4346629986244842,0.2986111111111111,0.9608938547486033,0.4556291390728477
0.16999999999999998,0.4511691884456671,0.3049645390070922,0.9608938547486033,0.4629878869448183
0.17999999999999997,0.4718019257221458,0.3132969034608379,0.9608938547486033,0.4725274725274725
0.18999999999999995,0.49105914718019256,0.32082551594746717,0.9553072625698324,0.4803370786516854
0.19999999999999996,0.5144429160935351,0.32941176470588235,0.9385474860335196,0.4876632801161103
0.20999999999999996,0.5295735900962861,0.3366733466933868,0.9385474860335196,0.49557522123893805
0.21999999999999995,0.5350756533700137,0.3380855397148676,0.9273743016759777,0.4955223880597015
0.22999999999999995,0.5488308115543329,0.3444676409185804,0.9217877094972067,0.5015197568389058
0.23999999999999994,0.5653370013755158,0.35268817204301073,0.9162011173184358,0.5093167701863354
0.24999999999999992,0.5777166437414031,0.3590308370044053,0.9106145251396648,0.5150078988941548
0.2599999999999999,0.5873452544704264,0.36465324384787473,0.9106145251396648,0.5207667731629393
0.2699999999999999,0.6038514442916093,0.37471264367816093,0.9106145251396648,0.5309446254071661
0.2799999999999999,0.6162310866574966,0.3826291079812207,0.9106145251396648,0.5388429752066116
0.2899999999999999,0.6286107290233838,0.3908872901678657,0.9106145251396648,0.5469798657718121
0.29999999999999993,0.6423658872077029,0.4004914004914005,0.9106145251396648,0.5563139931740614
0.30999999999999994,0.6588720770288858,0.4117647058823529,0.8994413407821229,0.5649122807017544
0.3199999999999999,0.6767537826685007,0.42513368983957217,0.888268156424581,0.5750452079566004
0.32999999999999985,0.6781292984869326,0.4254742547425474,0.8770949720670391,0.572992700729927
0.33999999999999986,0.6850068775790922,0.430939226519337,0.8715083798882681,0.5767097966728281
0.34999999999999987,0.6960110041265475,0.4406779661016949,0.8715083798882681,0.5853658536585366
0.3599999999999999,0.7028885832187071,0.4469914040114613,0.8715083798882681,0.5909090909090909
0.3699999999999999,0.7083906464924347,0.45217391304347826,0.8715083798882681,0.5954198473282443
0.3799999999999999,0.7166437414030261,0.46017699115044247,0.8715083798882681,0.6023166023166023
0.3899999999999999,0.7235213204951857,0.46686746987951805,0.8659217877094972,0.6066536203522505
0.3999999999999998,0.7331499312242091,0.47692307692307695,0.8659217877094972,0.6150793650793651
0.4099999999999998,0.7386519944979367,0.4827586206896552,0.8603351955307262,0.6184738955823293
0.4199999999999998,0.7455295735900963,0.4902597402597403,0.8435754189944135,0.6201232032854209
0.4299999999999998,0.7482806052269602,0.4934210526315789,0.8379888268156425,0.6211180124223602
0.43999999999999984,0.7524071526822559,0.4983388704318937,0.8379888268156425,0.625
0.44999999999999984,0.7606602475928473,0.5085910652920962,0.8268156424581006,0.6297872340425532
0.45999999999999985,0.7689133425034388,0.5197132616487455,0.8100558659217877,0.6331877729257642
0.46999999999999986,0.7702888583218707,0.5218978102189781,0.7988826815642458,0.6313465783664459
0.47999999999999976,0.7757909215955984,0.5296296296296297,0.7988826815642458,0.6369710467706013
0.48999999999999977,0.781292984869326,0.5381679389312977,0.7877094972067039,0.6394557823129252
0.4999999999999998,0.7854195323246217,0.5447470817120622,0.7821229050279329,0.6422018348623854
0.5099999999999998,0.7895460797799174,0.552,0.770949720670391,0.6433566433566433
0.5199999999999998,0.7936726272352133,0.5591836734693878,0.7653631284916201,0.6462264150943396
0.5299999999999998,0.7922971114167813,0.5578512396694215,0.7541899441340782,0.6413301662707839
0.5399999999999998,0.797799174690509,0.5672268907563025,0.7541899441340782,0.6474820143884892
0.5499999999999998,0.7991746905089409,0.5708154506437768,0.7430167597765364,0.6456310679611651
0.5599999999999997,0.7991746905089409,0.5708154506437768,0.7430167597765364,0.6456310679611651
0.5699999999999997,0.8088033012379643,0.588495575221239,0.7430167597765364,0.6567901234567901
0.5799999999999997,0.8088033012379643,0.5900900900900901,0.7318435754189944,0.6533665835411472
0.5899999999999997,0.8060522696011004,0.5887850467289719,0.7039106145251397,0.6412213740458015
0.5999999999999998,0.8074277854195323,0.5951219512195122,0.6815642458100558,0.6354166666666666
0.6099999999999998,0.8088033012379643,0.599009900990099,0.6759776536312849,0.6351706036745407
0.6199999999999998,0.811554332874828,0.6071428571428571,0.664804469273743,0.6346666666666667
0.6299999999999997,0.8156808803301238,0.6178010471204188,0.659217877094972,0.6378378378378379
0.6399999999999997,0.81292984869326,0.6162162162162163,0.6368715083798883,0.6263736263736264
0.6499999999999997,0.8088033012379643,0.6111111111111112,0.6145251396648045,0.6128133704735376
0.6599999999999997,0.811554332874828,0.6206896551724138,0.6033519553072626,0.6118980169971672
0.6699999999999997,0.8156808803301238,0.6347305389221557,0.5921787709497207,0.6127167630057804
0.6799999999999997,0.81292984869326,0.6303030303030303,0.5810055865921788,0.6046511627906976
0.6899999999999997,0.8101788170563962,0.6289308176100629,0.5586592178770949,0.591715976331361
0.6999999999999996,0.811554332874828,0.6346153846153846,0.553072625698324,0.591044776119403
0.7099999999999996,0.8101788170563962,0.6375838926174496,0.5307262569832403,0.5792682926829268
0.7199999999999996,0.811554332874828,0.6418918918918919,0.5307262569832403,0.581039755351682
0.7299999999999996,0.8143053645116919,0.6527777777777778,0.5251396648044693,0.5820433436532507
0.7399999999999997,0.8143053645116919,0.6549295774647887,0.5195530726256983,0.5794392523364486
0.7499999999999997,0.8074277854195323,0.6444444444444445,0.4860335195530726,0.554140127388535
0.7599999999999997,0.8074277854195323,0.6535433070866141,0.46368715083798884,0.5424836601307189
0.7699999999999997,0.8060522696011004,0.6557377049180327,0.44692737430167595,0.53156146179402
0.7799999999999997,0.8074277854195323,0.6611570247933884,0.44692737430167595,0.5333333333333333
0.7899999999999996,0.8060522696011004,0.6610169491525424,0.43575418994413406,0.5252525252525253
0.7999999999999996,0.8033012379642366,0.6578947368421053,0.41899441340782123,0.5119453924914675
0.8099999999999996,0.8005502063273727,0.6574074074074074,0.39664804469273746,0.49477351916376305
0.8199999999999996,0.796423658872077,0.6504854368932039,0.3743016759776536,0.475177304964539
0.8299999999999996,0.797799174690509,0.6632653061224489,0.36312849162011174,0.4693140794223827
0.8399999999999996,0.8019257221458047,0.6923076923076923,0.35195530726256985,0.4666666666666667
0.8499999999999996,0.8005502063273727,0.6976744186046512,0.33519553072625696,0.4528301886792453
0.8599999999999995,0.796423658872077,0.6867469879518072,0.31843575418994413,0.4351145038167939
0.8699999999999996,0.796423658872077,0.6962025316455697,0.30726256983240224,0.4263565891472868
0.8799999999999996,0.7950481430536451,0.7142857142857143,0.27932960893854747,0.40160642570281124
0.8899999999999996,0.7922971114167813,0.7058823529411765,0.2681564245810056,0.38866396761133604
0.8999999999999996,0.7895460797799174,0.703125,0.25139664804469275,0.37037037037037035
