dataset,accuracy,precision,recall,f1,roc_auc
TRAIN,0.7904509283819628,0.4574944071588367,0.6440944881889764,0.5349901896664486,0.8080635859603844
VALIDATION,0.7854195323246217,0.558974358974359,0.6089385474860335,0.5828877005347594,0.8122272968233903
TEST,0.8159340659340659,0.4301675977653631,0.7064220183486238,0.5347222222222222,0.846437728802004
