threshold,accuracy,precision,recall,f1
0.1,0.7895460797799174,0.5575221238938053,0.7039106145251397,0.6222222222222222
0.11,0.7950481430536451,0.5700934579439252,0.6815642458100558,0.6208651399491094
0.12,0.7950481430536451,0.5707547169811321,0.6759776536312849,0.618925831202046
0.13,0.7936726272352133,0.569377990430622,0.664804469273743,0.6134020618556701
0.13999999999999999,0.796423658872077,0.5763546798029556,0.6536312849162011,0.612565445026178
0.14999999999999997,0.7991746905089409,0.5829145728643216,0.6480446927374302,0.6137566137566137
0.15999999999999998,0.7991746905089409,0.583756345177665,0.6424581005586593,0.6117021276595744
0.16999999999999998,0.8033012379642366,0.59375,0.6368715083798883,0.6145552560646901
0.17999999999999997,0.8005502063273727,0.5894736842105263,0.6256983240223464,0.6070460704607046
0.18999999999999995,0.8088033012379643,0.6086956521739131,0.6256983240223464,0.6170798898071626
0.19999999999999996,0.8060522696011004,0.6043956043956044,0.6145251396648045,0.6094182825484764
0.20999999999999996,0.8046767537826685,0.6045197740112994,0.5977653631284916,0.601123595505618
0.21999999999999995,0.8101788170563962,0.6184971098265896,0.5977653631284916,0.6079545454545454
0.22999999999999995,0.81292984869326,0.6257309941520468,0.5977653631284916,0.6114285714285714
0.23999999999999994,0.8170563961485557,0.6369047619047619,0.5977653631284916,0.6167146974063401
0.24999999999999992,0.8198074277854195,0.6463414634146342,0.5921787709497207,0.6180758017492711
0.2599999999999999,0.8211829436038515,0.6521739130434783,0.5865921787709497,0.6176470588235294
0.2699999999999999,0.8211829436038515,0.6560509554140127,0.5754189944134078,0.6130952380952381
0.2799999999999999,0.8198074277854195,0.6538461538461539,0.5698324022346368,0.608955223880597
0.2899999999999999,0.8198074277854195,0.6538461538461539,0.5698324022346368,0.608955223880597
0.29999999999999993,0.8184319119669876,0.6535947712418301,0.5586592178770949,0.6024096385542169
0.30999999999999994,0.8156808803301238,0.6490066225165563,0.547486033519553,0.593939393939394
0.3199999999999999,0.8143053645116919,0.6466666666666666,0.5418994413407822,0.5896656534954408
0.32999999999999985,0.81292984869326,0.6462585034013606,0.5307262569832403,0.5828220858895705
0.33999999999999986,0.81292984869326,0.6462585034013606,0.5307262569832403,0.5828220858895705
0.34999999999999987,0.8143053645116919,0.6527777777777778,0.5251396648044693,0.5820433436532507
0.3599999999999999,0.8184319119669876,0.6666666666666666,0.5251396648044693,0.5875
0.3699999999999999,0.8184319119669876,0.6666666666666666,0.5251396648044693,0.5875
0.3799999999999999,0.8184319119669876,0.6666666666666666,0.5251396648044693,0.5875
0.3899999999999999,0.8156808803301238,0.6642335766423357,0.5083798882681564,0.5759493670886076
0.3999999999999998,0.811554332874828,0.6567164179104478,0.49162011173184356,0.5623003194888179
0.4099999999999998,0.8101788170563962,0.6541353383458647,0.4860335195530726,0.5576923076923077
