model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Log-Scaled Combined - Train,0.8160919540229885,0.5053037608486017,0.8251968503937008,0.6267942583732058,0.8837460672745856,2245,513,111,524
Log-Scaled Combined - Validation,0.7799174690508941,0.5363984674329502,0.7821229050279329,0.6363636363636364,0.837244627492558,427,121,39,140
Log-Scaled Combined - Test,0.7925824175824175,0.39705882352941174,0.7431192660550459,0.5175718849840255,0.8488535815387351,496,123,28,81
