feature,value,scaled_value,coefficient,contribution,absolute_contribution
has_file_activity_24h,0.0,-1.138274933435066,0.6044943755057894,-0.6880807950407242,0.6880807950407242
commit_authors_24h,0.0,-1.0534877593948755,-0.5259145942065396,0.5540445874837125,0.5540445874837125
is_draft,0.0,-0.3386026786391437,0.7432605722942535,-0.2516700207056971,0.2516700207056971
has_commit_activity_24h,0.0,-1.143749651499891,-0.21647635924024908,0.2475947604390001,0.2475947604390001
title_word_count,9.0,0.6383385759823,0.20018403227924889,0.12778519009953052,0.12778519009953052
files_changed_24h,0.0,-0.3862490644382635,-0.20843583409009758,0.0805081459127093,0.0805081459127093
body_length,2167.0,0.38742404780712436,0.19672601830249536,0.07621639031973118,0.07621639031973118
body_word_count,283.0,0.4663058001951369,0.15414978613144953,0.0718809393719348,0.0718809393719348
title_length,61.0,0.4989471826984841,-0.1059637966485987,-0.052870337805853394,0.052870337805853394
files_per_commit_24h,0.0,-0.34082133988780816,0.08338272764510968,-0.028418612959506463,0.028418612959506463
additions_24h,0.0,-0.33224708250278384,0.051909576777417,-0.017246805438251057,0.017246805438251057
changes_per_commit_24h,0.0,-0.27689116784663154,0.02879518762987599,-0.007973133131199241,0.007973133131199241
total_changes_24h,0.0,-0.3195360659374221,0.024512307455475495,-0.007832566291371182,0.007832566291371182
commits_24h,0.0,-0.6228696488639631,-0.012263177917860357,0.007638361323653987,0.007638361323653987
deletion_ratio_24h,0.0,-0.7733627029457227,0.008820651687320739,-0.006821563030649117,0.006821563030649117
deletions_24h,0.0,-0.2285720391375445,-0.029651047379236614,0.006777400362036058,0.006777400362036058
