dataset,accuracy,precision,recall,f1,roc_auc
TRAIN,0.7612732095490716,0.4231782265144864,0.7590551181102362,0.5434047350620068,0.8357993639119983
VALIDATION,0.7083906464924347,0.4440677966101695,0.7318435754189944,0.5527426160337553,0.774838926721853
TEST,0.7321428571428571,0.32661290322580644,0.7431192660550459,0.453781512605042,0.8171362511301151
