threshold,validation_f1,validation_precision,validation_recall
0.1,0.29638854296388545,0.1744868035190616,0.9834710743801653
0.11,0.3020304568527919,0.17841079460269865,0.9834710743801653
0.12,0.30709677419354836,0.1819571865443425,0.9834710743801653
0.13,0.30952380952380953,0.18425196850393702,0.9669421487603306
0.13999999999999999,0.31923601637107774,0.19117647058823528,0.9669421487603306
0.14999999999999997,0.3226703755215577,0.1939799331103679,0.9586776859504132
0.15999999999999998,0.3333333333333333,0.20173913043478262,0.9586776859504132
0.16999999999999998,0.33827893175074186,0.20614828209764918,0.9421487603305785
0.17999999999999997,0.34312210200927357,0.21102661596958175,0.9173553719008265
0.18999999999999995,0.3486529318541997,0.21568627450980393,0.9090909090909091
0.19999999999999996,0.353518821603928,0.22040816326530613,0.8925619834710744
0.20999999999999996,0.36923076923076925,0.23275862068965517,0.8925619834710744
0.21999999999999995,0.38028169014084506,0.24161073825503357,0.8925619834710744
0.22999999999999995,0.38838475499092556,0.24883720930232558,0.8842975206611571
0.23999999999999994,0.40227703984819735,0.26108374384236455,0.8760330578512396
0.24999999999999992,0.41568627450980394,0.27249357326478146,0.8760330578512396
0.2599999999999999,0.4163265306122449,0.2764227642276423,0.8429752066115702
0.2699999999999999,0.4288747346072187,0.2885714285714286,0.8347107438016529
0.2799999999999999,0.43015521064301554,0.29393939393939394,0.8016528925619835
0.2899999999999999,0.44341801385681295,0.3076923076923077,0.7933884297520661
0.29999999999999993,0.4523809523809524,0.3177257525083612,0.7851239669421488
0.30999999999999994,0.45588235294117646,0.3240418118466899,0.768595041322314
0.3199999999999999,0.4831168831168831,0.3522727272727273,0.768595041322314
0.32999999999999985,0.48257372654155495,0.35714285714285715,0.743801652892562
0.33999999999999986,0.49025069637883006,0.3697478991596639,0.7272727272727273
0.34999999999999987,0.5101449275362319,0.39285714285714285,0.7272727272727273
0.3599999999999999,0.5238095238095238,0.40930232558139534,0.7272727272727273
0.3699999999999999,0.5365853658536586,0.4251207729468599,0.7272727272727273
0.3799999999999999,0.53125,0.4271356783919598,0.7024793388429752
0.3899999999999999,0.5431309904153354,0.4427083333333333,0.7024793388429752
0.3999999999999998,0.5629139072847682,0.4696132596685083,0.7024793388429752
0.4099999999999998,0.5833333333333334,0.5029940119760479,0.6942148760330579
0.4199999999999998,0.5949820788530465,0.5253164556962026,0.6859504132231405
0.4299999999999998,0.6102941176470589,0.5496688741721855,0.6859504132231405
0.43999999999999984,0.6188679245283019,0.5694444444444444,0.6776859504132231
0.44999999999999984,0.6177606177606177,0.5797101449275363,0.6611570247933884
0.45999999999999985,0.6294820717131474,0.6076923076923076,0.6528925619834711
0.46999999999999986,0.6153846153846154,0.6031746031746031,0.628099173553719
0.47999999999999976,0.625,0.6302521008403361,0.6198347107438017
0.48999999999999977,0.6382978723404256,0.6578947368421053,0.6198347107438017
0.4999999999999998,0.6371681415929203,0.6857142857142857,0.5950413223140496
0.5099999999999998,0.6371681415929203,0.6857142857142857,0.5950413223140496
0.5199999999999998,0.6457399103139013,0.7058823529411765,0.5950413223140496
0.5299999999999998,0.6486486486486487,0.7128712871287128,0.5950413223140496
0.5399999999999998,0.663594470046083,0.75,0.5950413223140496
0.5499999999999998,0.6728971962616822,0.7741935483870968,0.5950413223140496
0.5599999999999997,0.6792452830188679,0.7912087912087912,0.5950413223140496
0.5699999999999997,0.6859903381642513,0.8255813953488372,0.5867768595041323
0.5799999999999997,0.6893203883495146,0.8352941176470589,0.5867768595041323
0.5899999999999997,0.6926829268292682,0.8452380952380952,0.5867768595041323
0.5999999999999998,0.696078431372549,0.8554216867469879,0.5867768595041323
0.6099999999999998,0.7064676616915423,0.8875,0.5867768595041323
0.6199999999999998,0.71,0.8987341772151899,0.5867768595041323
0.6299999999999997,0.71,0.8987341772151899,0.5867768595041323
0.6399999999999997,0.71,0.8987341772151899,0.5867768595041323
0.6499999999999997,0.71,0.8987341772151899,0.5867768595041323
0.6599999999999997,0.71,0.8987341772151899,0.5867768595041323
0.6699999999999997,0.71,0.8987341772151899,0.5867768595041323
0.6799999999999997,0.7035175879396985,0.8974358974358975,0.5785123966942148
0.6899999999999997,0.7070707070707071,0.9090909090909091,0.5785123966942148
0.6999999999999996,0.7070707070707071,0.9090909090909091,0.5785123966942148
0.7099999999999996,0.7070707070707071,0.9090909090909091,0.5785123966942148
0.7199999999999996,0.7070707070707071,0.9090909090909091,0.5785123966942148
0.7299999999999996,0.7070707070707071,0.9090909090909091,0.5785123966942148
0.7399999999999997,0.7070707070707071,0.9090909090909091,0.5785123966942148
0.7499999999999997,0.7070707070707071,0.9090909090909091,0.5785123966942148
0.7599999999999997,0.7106598984771574,0.9210526315789473,0.5785123966942148
0.7699999999999997,0.7106598984771574,0.9210526315789473,0.5785123966942148
0.7799999999999997,0.7142857142857143,0.9333333333333333,0.5785123966942148
0.7899999999999996,0.7142857142857143,0.9333333333333333,0.5785123966942148
0.7999999999999996,0.7142857142857143,0.9333333333333333,0.5785123966942148
0.8099999999999996,0.711340206185567,0.9452054794520548,0.5702479338842975
0.8199999999999996,0.7083333333333334,0.9577464788732394,0.5619834710743802
0.8299999999999996,0.7083333333333334,0.9577464788732394,0.5619834710743802
0.8399999999999996,0.7120418848167539,0.9714285714285714,0.5619834710743802
0.8499999999999996,0.708994708994709,0.9852941176470589,0.5537190082644629
0.8599999999999995,0.708994708994709,0.9852941176470589,0.5537190082644629
0.8699999999999996,0.7127659574468085,1.0,0.5537190082644629
0.8799999999999996,0.6989247311827957,1.0,0.5371900826446281
0.8899999999999996,0.6918918918918919,1.0,0.5289256198347108
0.8999999999999996,0.6847826086956522,1.0,0.5206611570247934
