model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
HistGradientBoosting - Train,1.0,1.0,1.0,1.0,1.0,2758,0,0,635
HistGradientBoosting - Validation,0.797799174690509,0.6379310344827587,0.4134078212290503,0.5016949152542373,0.8170951759572646,506,42,105,74
HistGradientBoosting - Test,0.8598901098901099,0.5573770491803278,0.3119266055045872,0.4,0.8428806450178595,592,27,75,34
