embedding_dimension,coefficient,absolute_coefficient
323,-2.6980475444137757,2.6980475444137757
279,2.455792551571278,2.455792551571278
335,-2.075142880491104,2.075142880491104
298,-1.909543648103718,1.909543648103718
340,1.887866731670063,1.887866731670063
334,-1.7709660606113862,1.7709660606113862
36,1.7639130298195949,1.7639130298195949
254,1.7464637714835436,1.7464637714835436
13,1.7144975582127502,1.7144975582127502
108,1.6781730732289324,1.6781730732289324
361,1.6495024422622022,1.6495024422622022
200,1.6328436096895047,1.6328436096895047
295,1.6272659818950723,1.6272659818950723
133,-1.5985583205006035,1.5985583205006035
177,-1.5950718679679605,1.5950718679679605
142,1.5770105105670205,1.5770105105670205
62,-1.5691516731972328,1.5691516731972328
211,1.5296397801012203,1.5296397801012203
357,1.4437015576459327,1.4437015576459327
245,-1.3921984853255176,1.3921984853255176
311,-1.364357351819065,1.364357351819065
127,-1.332560434512606,1.332560434512606
74,1.325380145854243,1.325380145854243
294,-1.2884203410769788,1.2884203410769788
33,-1.287475554811349,1.287475554811349
8,1.2850747426134033,1.2850747426134033
68,1.2795876209508172,1.2795876209508172
67,1.2761812321216053,1.2761812321216053
117,1.2703250313082135,1.2703250313082135
162,1.2699243097423383,1.2699243097423383
370,1.257708167239058,1.257708167239058
156,1.2421950174420353,1.2421950174420353
178,-1.2378251873603143,1.2378251873603143
30,1.2165758333084864,1.2165758333084864
347,-1.1939889270499102,1.1939889270499102
129,1.1838850914066172,1.1838850914066172
332,1.1638526831741975,1.1638526831741975
198,-1.1557990815875852,1.1557990815875852
231,1.148065876828267,1.148065876828267
225,1.1376294393019595,1.1376294393019595
319,1.1264544252331754,1.1264544252331754
302,1.1254723749614186,1.1254723749614186
317,-1.1123313635615364,1.1123313635615364
282,-1.0992347709428052,1.0992347709428052
345,1.0902523824881667,1.0902523824881667
251,-1.077697334770622,1.077697334770622
73,-1.0521199473871747,1.0521199473871747
202,-1.0316812599471996,1.0316812599471996
121,1.027431381985228,1.027431381985228
54,1.0179170979353362,1.0179170979353362
234,-1.013130716599169,1.013130716599169
321,-1.0125622678336132,1.0125622678336132
41,-1.0122840580221435,1.0122840580221435
140,1.0077618652813287,1.0077618652813287
303,0.9979358245955375,0.9979358245955375
270,-0.9955163724291741,0.9955163724291741
18,-0.9945252845382883,0.9945252845382883
94,-0.9935321083961186,0.9935321083961186
45,0.9924385525415856,0.9924385525415856
126,0.986689820362581,0.986689820362581
4,0.9852076819547024,0.9852076819547024
342,-0.9815458650649518,0.9815458650649518
154,-0.9743539707736393,0.9743539707736393
288,0.9692642128729265,0.9692642128729265
355,0.9589211238256283,0.9589211238256283
47,0.9571796630478927,0.9571796630478927
66,-0.9544943066215479,0.9544943066215479
134,-0.9538425663034185,0.9538425663034185
246,-0.9510957128486642,0.9510957128486642
84,-0.9458230398782468,0.9458230398782468
203,0.945252491950011,0.945252491950011
292,-0.943681002836204,0.943681002836204
123,0.9423395784089884,0.9423395784089884
378,0.9328670685521082,0.9328670685521082
28,-0.9298543651395396,0.9298543651395396
271,0.928808040873382,0.928808040873382
356,-0.9280386444351242,0.9280386444351242
348,-0.9273742889354433,0.9273742889354433
64,-0.9254409715088437,0.9254409715088437
106,0.9229373137399981,0.9229373137399981
31,0.9197215577097111,0.9197215577097111
310,-0.9192738133456909,0.9192738133456909
350,-0.907788431644308,0.907788431644308
5,0.901451143437595,0.901451143437595
81,0.9012470619571071,0.9012470619571071
377,-0.8901717603551595,0.8901717603551595
196,0.8809728818289865,0.8809728818289865
44,-0.8725349122501408,0.8725349122501408
53,-0.8708293749586558,0.8708293749586558
338,0.862341709008071,0.862341709008071
261,-0.853560747070348,0.853560747070348
102,0.8521501547005836,0.8521501547005836
207,-0.8455898240007551,0.8455898240007551
2,-0.832856927689275,0.832856927689275
71,0.8262835479915069,0.8262835479915069
187,-0.8240280233593986,0.8240280233593986
110,-0.8171824048063117,0.8171824048063117
304,0.8131193708393286,0.8131193708393286
29,-0.805683939341758,0.805683939341758
100,-0.8041998833272233,0.8041998833272233
27,0.7962702277645225,0.7962702277645225
283,-0.7870935938266553,0.7870935938266553
217,-0.7835347850349794,0.7835347850349794
291,-0.781964776927255,0.781964776927255
191,0.7757833818750207,0.7757833818750207
328,-0.7626656313338945,0.7626656313338945
346,-0.7614674705118902,0.7614674705118902
297,-0.7587614788753764,0.7587614788753764
277,-0.7585663537776997,0.7585663537776997
205,-0.7509936643580853,0.7509936643580853
16,0.7502747212987861,0.7502747212987861
359,0.7502246318744723,0.7502246318744723
194,-0.7467658360608249,0.7467658360608249
125,0.7461846746417926,0.7461846746417926
145,0.742992891392885,0.742992891392885
12,-0.7418771133420774,0.7418771133420774
331,-0.7411768807634577,0.7411768807634577
223,-0.7408099293955861,0.7408099293955861
226,-0.739843629530922,0.739843629530922
260,-0.7379048893935495,0.7379048893935495
190,-0.7322771467209782,0.7322771467209782
238,0.7258010551902074,0.7258010551902074
58,-0.7210467351917695,0.7210467351917695
219,0.7208370701068769,0.7208370701068769
181,0.7184142071785579,0.7184142071785579
210,-0.7173060151100967,0.7173060151100967
1,-0.7043606832894403,0.7043606832894403
253,-0.6900113314770578,0.6900113314770578
233,0.6849481113362628,0.6849481113362628
97,0.6812602467792175,0.6812602467792175
327,0.6781783669012149,0.6781783669012149
43,-0.6728396144175135,0.6728396144175135
197,0.6721322183406545,0.6721322183406545
151,0.6713607284358144,0.6713607284358144
316,-0.6600882276810962,0.6600882276810962
305,0.6588894856201598,0.6588894856201598
107,-0.6555365488973726,0.6555365488973726
146,-0.6520644481617714,0.6520644481617714
343,-0.649991722195009,0.649991722195009
98,-0.6488768630722234,0.6488768630722234
352,-0.6474974303112753,0.6474974303112753
