pr_number,commits_count,commit_authors,files_changed,additions,deletions,total_changes,max_file_changes,avg_file_changes,files_added,files_modified,files_removed,files_renamed,deletion_ratio,changes_per_commit,files_per_commit,developers_involved
327316,2,1,44.0,1322.0,249.0,1571.0,208.0,34.15217391304348,2.0,43.0,0.0,1.0,0.158497772119669,785.5,22.0,1
327319,4,1,2.0,421.0,102.0,523.0,266.0,65.375,1.0,7.0,0.0,0.0,0.1950286806883365,130.75,0.5,1
327320,1,1,4.0,74.0,74.0,148.0,72.0,37.0,0.0,4.0,0.0,0.0,0.5,148.0,4.0,1
327321,4,1,87.0,3518.0,1211.0,4729.0,573.0,52.544444444444444,22.0,64.0,4.0,0.0,0.2560795094100233,1182.25,21.75,1
327325,3,1,1.0,12.0,3.0,15.0,12.0,7.5,0.0,2.0,0.0,0.0,0.2,5.0,0.3333333333333333,1
327328,3,2,191.0,8764.0,1620.0,10384.0,576.0,52.44444444444444,32.0,162.0,4.0,0.0,0.15600924499229585,3461.3333333333335,63.666666666666664,2
327330,3,1,201.0,7037.0,1803.0,8840.0,573.0,41.8957345971564,32.0,174.0,4.0,1.0,0.20395927601809954,2946.6666666666665,67.0,1
327331,6,1,105.0,4327.0,1282.0,5609.0,576.0,49.20175438596491,22.0,88.0,4.0,0.0,0.22856124086289892,934.8333333333334,17.5,1
327332,2,1,20.0,403.0,43.0,446.0,106.0,19.391304347826086,0.0,23.0,0.0,0.0,0.09641255605381166,223.0,10.0,1
327337,1,1,5.0,143.0,119.0,262.0,116.0,52.4,1.0,3.0,0.0,1.0,0.4541984732824427,262.0,5.0,1
327340,2,2,2.0,28.0,2.0,30.0,15.0,15.0,0.0,2.0,0.0,0.0,0.06666666666666667,15.0,1.0,2
327341,2,1,22.0,436.0,43.0,479.0,106.0,21.772727272727273,0.0,22.0,0.0,0.0,0.08977035490605428,239.5,11.0,1
327345,7,2,241.0,9795.0,1148.0,10943.0,905.0,42.08846153846154,23.0,236.0,0.0,1.0,0.10490724664168875,1563.2857142857142,34.42857142857143,2
327347,1,1,1.0,9.0,1.0,10.0,10.0,10.0,0.0,1.0,0.0,0.0,0.1,10.0,1.0,1
327350,3,2,3.0,21.0,12.0,33.0,11.0,6.6,0.0,5.0,0.0,0.0,0.36363636363636365,11.0,1.0,2
327351,1,1,1.0,5.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1
327355,1,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
