file_name,unique_developers_per_file,single_contributor_flag
.github/instructions/coding-guidelines.instructions.md,5,0
.github/instructions/committing.instructions.md,43,0
.github/instructions/css-best-practices.instructions.md,74,0
.github/instructions/design-philosophy.instructions.md,37,0
.github/instructions/design-tokens.instructions.md,74,0
.github/instructions/interactive.instructions.md,2,0
.github/instructions/kusto.instructions.md,2,0
.github/instructions/language-model-tool-descriptions.instructions.md,40,0
.github/instructions/learnings.instructions.md,21,0
.github/instructions/notebook.instructions.md,2,0
.github/instructions/observables.instructions.md,1,1
.github/instructions/oss-third-party-notices.instructions.md,7,0
.github/instructions/oss.instructions.md,2,0
.github/instructions/resources/interactive/interactive.editor.drawio.svg,2,0
.github/instructions/resources/interactive/interactive.eh.drawio.svg,2,0
.github/instructions/resources/interactive/interactive.model.resolution.drawio.svg,2,0
.github/instructions/resources/notebook/cell-resize-above-viewport.drawio.svg,2,0
.github/instructions/resources/notebook/hybrid-find.drawio.svg,2,0
.github/instructions/resources/notebook/viewport-rendering.drawio.svg,2,0
.github/instructions/sessions.instructions.md,64,0
.github/instructions/source-code-organization.instructions.md,39,0
.github/instructions/tree-widgets.instructions.md,19,0
.github/instructions/writing-tests.instructions.md,2,0
.github/learnings/README.md,62,0
.github/learnings/sessions.md,72,0
.github/pr-assets/328582/after.png,1,1
.github/pr-assets/328582/before.png,1,1
.github/pr-assets/328582/compare.png,1,1
.github/prompts/find-duplicates.prompt.md,2,0
.github/prompts/find-issue.prompt.md,2,0
.github/prompts/fix-error.prompt.md,32,0
.github/prompts/issue-grouping.prompt.md,2,0
.github/prompts/micro-perf.prompt.md,1,1
.github/prompts/migrate.prompt.md,2,0
.github/prompts/plan.prompt.md,2,0
.github/similarity.yml,1,1
.github/skills/accessibility/SKILL.md,21,0
.github/skills/add-policy/SKILL.md,57,0
.github/skills/add-policy/extension-policy.md,1,1
.github/skills/add-policy/github-managed-settings.md,46,0
.github/skills/add-policy/legacy-permission-policy.md,1,1
.github/skills/add-policy/local-testing.md,25,0
.github/skills/add-policy/mixed-policy.md,1,1
.github/skills/add-policy/sdk-runtime-policy.md,1,1
.github/skills/add-policy/vscode-policy.md,1,1
.github/skills/agent-host-chat-contributions/SKILL.md,61,0
.github/skills/agent-host-e2e-tests/SKILL.md,92,0
.github/skills/agent-host-logs/SKILL.md,69,0
.github/skills/agent-host-logs/scripts/extract.py,26,0
.github/skills/agent-sessions-layout/SKILL.md,2,0
.github/skills/author-contributions/SKILL.md,2,0
.github/skills/auto-perf-optimize/SKILL.md,3,0
.github/skills/auto-perf-optimize/scratchpad/.gitignore,3,0
.github/skills/auto-perf-optimize/scratchpad/README.md,41,0
.github/skills/auto-perf-optimize/scripts/chat-memory-smoke.mts,3,0
.github/skills/auto-perf-optimize/scripts/chat-session-switch-smoke.mts,3,0
.github/skills/auto-perf-optimize/scripts/userDataProfile.mts,3,0
.github/skills/auto-perf-optimize/scripts/workbench-css-performance.mts,29,0
.github/skills/azure-pipelines/SKILL.md,7,0
.github/skills/azure-pipelines/azure-pipeline.ts,2,0
.github/skills/chat-customizations-editor/SKILL.md,55,0
.github/skills/chat-perf/SKILL.md,42,0
.github/skills/chat-pet-sprite-creation/SKILL.md,63,0
.github/skills/code-oss-logs/SKILL.md,25,0
.github/skills/code-review/1234SKILL.md,1,1
.github/skills/code-review/SKILL.md,1,1
.github/skills/code-review/SKILL.md١,1,1
.github/skills/code-review/github-actions-failure-debugging,1,1
.github/skills/code-review/references/sbatten.md,1,1
.github/skills/code-review/references/tylerleonhardt.md,1,1
.github/skills/component-fixtures/SKILL.md,32,0
.github/skills/cpu-profile-analysis/SKILL.md,3,0
.github/skills/customizations-in-the-agent-host/SKILL.md,53,0
.github/skills/design-philosophy/SKILL.md,62,0
.github/skills/feedback-learning/SKILL.md,62,0
.github/skills/fix-ci-failures/SKILL.md,6,0
.github/skills/fix-errors/SKILL.md,32,0
.github/skills/flaky-smoke-tests/SKILL.md,61,0
.github/skills/heap-snapshot-analysis/SKILL.md,3,0
.github/skills/heap-snapshot-analysis/helpers/compareSnapshots.ts,3,0
.github/skills/heap-snapshot-analysis/helpers/findRetainers.ts,3,0
.github/skills/heap-snapshot-analysis/helpers/parseSnapshot.ts,3,0
.github/skills/heap-snapshot-analysis/helpers/streamSnapshot.mjs,2,0
.github/skills/heap-snapshot-analysis/scratchpad/.gitignore,3,0
.github/skills/heap-snapshot-analysis/scratchpad/README.md,3,0
.github/skills/hygiene/SKILL.md,48,0
.github/skills/integrated-browser/SKILL.md,40,0
.github/skills/integration-tests/SKILL.md,55,0
.github/skills/memory-leak-audit/SKILL.md,4,0
.github/skills/otel/SKILL.md,24,0
.github/skills/policy-and-managed-settings/SKILL.md,63,0
.github/skills/policy-and-managed-settings/extension-policy.md,56,0
.github/skills/policy-and-managed-settings/github-managed-settings.md,93,0
.github/skills/policy-and-managed-settings/legacy-permission-policy.md,63,0
.github/skills/policy-and-managed-settings/local-testing.md,88,0
.github/skills/policy-and-managed-settings/mixed-policy.md,56,0
.github/skills/policy-and-managed-settings/sdk-runtime-policy.md,63,0
.github/skills/policy-and-managed-settings/vscode-policy.md,56,0
.github/skills/sessions/SKILL.md,120,0
.github/skills/smoke-tests/SKILL.md,40,0
.github/skills/sweeper-fix/SKILL.md,66,0
.github/skills/symbolicate-crash-dump/SKILL.md,25,0
.github/skills/tool-rename-deprecation/SKILL.md,34,0
.github/skills/ui-scenario-validation/SKILL.md,25,0
.github/skills/unit-tests/SKILL.md,3,0
.github/skills/update-screenshots/SKILL.md,49,0
.github/skills/ux-css-layout/SKILL.md,68,0
.github/skills/ux-theming/SKILL.md,54,0
.github/skills/validate-ui-scenario/SKILL.md,58,0
.github/skills/vscode-dev-workbench/SKILL.md,2,0
.github/workflows/Ujdic,1,1
.github/workflows/android.yml,1,1
.github/workflows/api-proposal-version-check.yml,4,0
.github/workflows/build.yml,1,1
.github/workflows/chat-lib-package.yml,83,0
.github/workflows/chat-perf.yml,72,0
.github/workflows/check-clean-git-state.sh,4,0
.github/workflows/codeql.yml,29,0
.github/workflows/codespaces-git-identity.yml,1,1
.github/workflows/component-fixture-tests.yml,1,1
.github/workflows/component-fixtures.yml,100,0
.github/workflows/copilot-setup-steps.yml,85,0
.github/workflows/css-order-scan.yml,70,0
.github/workflows/datadog-synthetics.yml,1,1
.github/workflows/deno.yml,1,1
.github/workflows/generator-generic-ossf-slsa3-publish.yml,1,1
.github/workflows/monaco-editor.yml,87,0
.github/workflows/msbuild.yml,1,1
.github/workflows/no-engineering-system-changes.yml,65,0
